poly,Village Name,Survey_No,Mandal,District,State,Land SubDivision Number,Crop Area in Hectares,Land Record Area,Sowing Date,Event_date,Sowing Date,Plateau Start,Plateau End,Field Clearing Date,Event Occurred Type,Crop Name,High Resolution Usage Analysis,Sentinel LULC for Area Analysis,Score from Weather Anamoloies,Cycle Completeness Stage of the Crop ,Stage of the Crop at the time of the event ,Phenology similarity of past 5 years,NDMI status (dryness or wetness of the crop),Abnormalities in the Phenology,Phenology score at Event,Final Score for Settlement,Days passed after the plateau ended,Crop Standing on Event,Crop Harvested and Laid,Crop Removed,Verdict
1,Bambuli,92,Nainwa,Bundi,Rajasthan,247,0.1618,0.6472,2023-06-24,2023-09-18,2023-07-02,2023-07-27,2023-09-19,2023-10-07,Inundation,Urad,10.00,9.66,10.00,8.04,7.13,8.40,8.00,2.50,10.00,618,-1,0,1,0,Settle
2,Bambuli,1019,Nainwa,Bundi,Rajasthan,255,0.86158,3.4463,2023-07-24,2023-09-18,2023-06-22,2023-08-03,2023-09-15,2023-10-07,Excess Rainfall & Indundation,Urad,10.00,9.77,10.00,8.22,7.73,6.90,8.00,0.00,10.00,636,3,0,1,0,Settle
3,Bambuli,1234/253,Nainwa,Bundi,Rajasthan,98,1.0598,1.0598,2023-07-24,2023-09-18,2023-07-02,2023-07-30,2023-09-03,2023-09-29,Excess Rainfall,Urad,10.00,9.22,10.00,8.76,8.97,5.50,10.00,0.00,5.00,575,15,0,1,0,Settle
4,BHAJNERI,1650,Nainwa,Bundi,Rajasthan,304,0.6715,0.6715,2023-07-01,2023-09-18,2023-07-02,2023-07-27,2023-08-27,2023-10-11,Excess Rainfall,Urad,10.00,9.47,10.00,7.72,8.65,7.00,10.00,2.50,5.00,552,22,0,0,0,Settle
5,BHAJNERI,1654,Nainwa,Bundi,Rajasthan,311,0.3236,1.618,2023-06-20,2023-09-18,2023-07-02,2023-07-30,2023-09-03,2023-10-11,Excess Rainfall,Urad,10.00,9.31,10.00,7.72,8.53,6.60,10.00,0.00,5.00,571,15,0,1,0,Settle
6,BHAJNERI,1659,Nainwa,Bundi,Rajasthan,371,0.2427,0.2427,2023-06-20,2023-09-18,2023-07-02,2023-07-30,2023-09-03,2023-10-11,Excess Rainfall,Urad,10.00,10.00,10.00,7.72,8.57,6.20,10.00,0.00,5.00,570,15,0,1,0,Settle
7,BHAJNERI,1688,Nainwa,Bundi,Rajasthan,494,0.2427,0.7281,2023-07-01,2023-09-18,2023-06-18,2023-08-03,2023-09-15,2023-10-23,Excess Rainfall,Urad,10.00,9.85,10.00,7.24,8.11,7.60,8.00,2.50,10.00,612,3,0,1,0,Settle
8,BHAJNERI,1689,Nainwa,Bundi,Rajasthan,494,0.29123,0.8737,2023-07-01,2023-09-18,2023-06-28,2023-07-30,2023-09-03,2023-10-07,Excess Rainfall,Urad,10.00,9.99,10.00,8.12,8.47,8.10,8.00,0.00,5.00,580,15,0,1,0,Settle
9,BHAJNERI,1690,Nainwa,Bundi,Rajasthan,494,0.06473,0.1942,2023-07-01,2023-09-18,2023-06-28,2023-07-30,2023-09-15,2023-10-19,Cyclonic Rains,Urad,10.00,7.72,10.00,7.26,8.11,7.20,8.00,0.00,10.00,627,3,0,1,0,Settle
10,BHAJNERI,1691,Nainwa,Bundi,Rajasthan,494,0.18877,0.5663,2023-07-01,2023-09-18,2023-06-28,2023-08-03,2023-09-15,2023-10-19,Excess Rainfall,Urad,10.00,8.38,10.00,7.26,8.05,7.10,9.00,0.00,10.00,633,3,0,1,0,Settle
11,BHAJNERI,1692,Nainwa,Bundi,Rajasthan,494,0.01887,0.0566,2023-07-01,2023-09-18,2023-06-28,2023-08-03,2023-09-15,2023-10-11,Cyclonic Rains,Urad,3.00,7.50,10.00,7.81,7.76,4.70,8.00,0.00,10.00,533,3,0,1,0,Review
12,BHAJNERI,1693,Nainwa,Bundi,Rajasthan,494,0.18877,0.5663,2023-07-01,2023-09-18,2023-06-28,2023-08-11,2023-09-19,2023-10-07,Excess Rainfall,Urad,10.00,7.73,10.00,8.12,7.64,6.30,8.00,0.00,10.00,622,-1,0,1,0,Settle
